time,latitude,longitude,depth,mag
1968-11-05T02:02:43.860Z,32.293,76.483,15,5.19
1968-02-11T20:38:27.320Z,34.101,78.686,15,5.31
1968-02-10T17:03:02.510Z,34.039,78.59,15,5.29
1967-07-02T08:32:38.200Z,33.188,75.701,17.2,5.14
1967-02-21T12:37:44.110Z,33.593,75.36,15,5.37
1967-02-20T15:18:41.020Z,33.617,75.333,20,5.5
1967-02-10T05:46:30.210Z,33.272,75.273,15,5.12
1966-10-20T00:53:37.800Z,33.518,78.716,10.3,5.14
1965-05-31T02:04:42.400Z,32.606,78.017,15,5.38
1955-06-27T10:14:12.650Z,32.294,78.506,15,6.15
1951-09-12T20:41:54.160Z,32.977,75.88,15,5.61
1950-10-06T21:21:06.210Z,33.197,76.24,15,5.47
1947-07-10T10:19:22.170Z,32.79,76.136,15,5.99
1945-06-22T18:00:53.440Z,32.529,76.19,20,6.42
1941-01-10T07:38:13.040Z,34.079,78.011,15,5.67
1937-11-15T21:37:28.920Z,34.726,78.238,30,6.35
1927-06-29T22:00:51.100Z,34.896,75.085,15,5.21
